Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
5,drone_1,6.8239,14.1065,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
5,drone_2,6.8102,12.8548,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
5,drone_3,8.2985,13.4927,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
5,drone_4,6.8981,14.7264,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
5,drone_5,7.5869,14.8392,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
5,drone_6,8.5257,14.9578,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
5,drone_7,7.2755,14.4181,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
5,drone_8,9.2141,13.9468,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
5,drone_9,8.6373,12.9147,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
6,drone_0,8.3431,13.7492,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
6,drone_1,6.9444,13.9860,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
6,drone_2,6.9516,12.7133,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
6,drone_3,8.4190,13.3722,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
6,drone_4,7.0094,14.6152,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
6,drone_5,7.6982,14.7280,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
6,drone_6,8.6563,14.8273,14.9312,8.6520,"3.956,14.453,1.102;17.766,12.446,0.482;6.067,3.100,1.821;19.523,8.853,0.465;11.576,17.134,1.328;16.621,6.481,0.610;2.395,14.618,0.282;14.338,4.441,1.151;7.334,8.700,0.262;15.566,3.000,2.024;3.032,3.463,0.457;13.676,1.403,0.917;0.413,9.902,0.450;3.548,12.753,1.862;16.050,1.036,0.382;0.875,16.542,0.324;3.892,11.872,1.130;10.576,1.837,1.012;17.730,5.449,0.252;10.293,14.660,0.459;11.050,6.088,0.886;14.392,15.283,0.470;9.954,9.297,0.854;13.890,17.384,0.256;2.554,14.015,0.742;4.568,9.006,0.425;2.366,7.279,1.366;16.670,4.974,1.373;4.792,18.034,0.391;5.603,11.447,0.275;13.675,18.874,0.909;13.256,1.338,1.360;3.562,9.224,0.365;8.651,18.053,1.357;19.543,18.954,0.604;10.525,2.867,0.297;8.244,1.917,1.009;14.220,16.417,0.382;12.084,5.631,1.756;2.388,3.668,1.127;5.490,17.479,0.880;19.305,10.100,0.479;12.435,16.186,0.415;10.995,19.311,0.678;2.399,9.663,0.492;12.923,3.969,0.690;1.545,18.256,1.234;6.767,2.062,0.834;18.879,4.853,1.845;8.324,11.581,0.321;10.070,1.503,0.478;2.203,17.795,0.929;18.486,11.946,0.226;4.068,0.698,0.904;8.826,10.617,0.288;4.211,18.054,0.406;4.215,3.234,1.033;1.081,11.954,1.309;17.162,16.240,1.172;18.351,17.139,0.271;9.064,18.967,0.386;14.115,3.151,1.134;0.730,9.942,0.400;9.604,7.666,0.440;0.150,19.249,0.209;1.294,13.436,2.116;2.649,17.534,0.900;9.049,17.216,0.456;12.580,11.553,0.705"
