Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
2,drone_6,5.6666,6.2362,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
2,drone_7,12.6589,18.0557,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
2,drone_8,9.4969,3.8527,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
2,drone_9,3.0939,10.5103,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
3,drone_0,13.9567,6.9769,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
3,drone_1,-100.0000,-100.0000,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
3,drone_2,13.8483,1.6194,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
3,drone_3,14.6245,4.0424,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
3,drone_5,-100.0000,-100.0000,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
3,drone_6,5.8081,6.0947,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
3,drone_7,12.8003,17.9143,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
3,drone_8,9.6383,3.7113,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
3,drone_9,3.2354,10.3689,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
4,drone_0,14.0981,6.8355,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
4,drone_2,-100.0000,-100.0000,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
4,drone_3,14.7659,3.9010,6.7418,8.5194,"7.902,2.557,0.333;18.276,3.866,1.116;12.161,6.675,0.957;8.983,17.691,1.141;7.822,4.415,0.393;1.857,15.103,0.427;17.206,16.682,0.307;0.175,14.122,0.298;14.383,5.664,0.457;12.234,3.195,0.878;3.029,3.075,0.406;1.920,13.340,0.406;12.723,19.405,0.868;4.333,0.399,0.315;11.369,7.714,0.652;2.258,12.644,0.846;6.403,17.867,0.396;16.096,16.833,0.242;10.135,16.048,1.165;6.158,11.445,0.338;19.586,14.954,0.496;11.605,12.059,1.627;1.911,18.616,0.657;14.868,8.377,1.395;10.469,6.811,0.985;1.372,17.807,1.607;5.236,18.301,0.422;18.641,13.869,0.220;2.589,17.491,0.622;1.029,12.301,1.103;6.532,5.349,0.787;12.897,9.655,0.456;14.912,3.791,0.618;11.651,3.387,0.856;0.671,7.264,1.299;16.608,7.829,2.241;17.382,3.251,0.694;19.147,3.553,1.500;10.386,0.592,1.018;15.036,3.294,0.390;1.546,8.043,1.359;7.760,2.657,0.435;11.680,1.181,0.340;15.136,7.060,1.060;7.680,12.822,1.118;19.616,5.606,0.712;17.342,13.083,0.300;11.009,18.743,0.207;1.979,17.445,2.085;17.040,10.759,0.408;18.581,12.465,0.254;10.788,8.989,0.411;18.314,10.123,0.265;11.424,9.377,0.836;13.647,12.101,0.683;7.325,0.695,1.052;5.393,2.957,0.354;11.508,10.866,0.910;1.476,0.172,0.326;1.728,13.674,0.357;17.942,11.763,1.093;7.239,18.330,1.935;5.527,16.990,0.445;7.552,14.857,0.621;3.125,17.544,1.133;8.653,16.952,0.449;15.927,2.992,0.647;16.703,18.472,1.221;11.098,5.001,0.244;5.599,14.947,1.869"
