Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
12,drone_6,7.4980,17.1291,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
12,drone_7,13.6171,11.2247,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
12,drone_8,9.3327,7.0567,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
12,drone_9,2.7476,6.4794,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
13,drone_0,14.4858,9.5078,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
13,drone_1,16.0568,3.9301,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
13,drone_3,4.5552,16.8512,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
13,drone_5,17.8857,7.9079,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
13,drone_6,7.6979,17.1352,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
13,drone_7,13.7880,11.3285,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
13,drone_8,9.5080,7.1529,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
13,drone_9,2.9188,6.5829,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
14,drone_0,14.6241,9.6523,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
14,drone_1,16.1643,4.0988,17.0000,17.0000,"17.021,11.333,2.047;3.973,4.100,0.259;5.443,0.512,0.450;11.746,3.967,1.587;3.283,8.561,1.187;17.203,12.172,1.840;13.459,15.989,0.911;7.262,13.328,0.364;18.811,1.787,1.545;2.620,11.693,0.270;14.435,19.582,0.260;5.248,2.770,1.699;16.692,8.531,0.332;14.924,12.397,1.251;11.113,2.086,0.728;11.679,15.368,0.699;10.710,14.193,0.228;13.905,12.128,0.345;6.695,8.016,0.214;4.342,12.054,0.744;1.610,14.461,1.011;4.732,12.698,0.359;10.166,1.004,1.059;4.065,10.864,0.275;4.521,10.253,2.468;2.941,3.022,0.341;2.415,1.583,0.713;7.802,10.346,0.316;4.130,6.601,0.229;6.703,1.714,0.941;1.852,8.884,0.283;12.540,15.238,0.839;19.830,13.145,0.220;3.458,12.540,0.488;5.755,11.024,1.156;5.176,13.293,0.734;7.079,15.690,0.326;19.519,9.401,0.339;18.682,8.333,0.629;3.870,2.636,1.552;4.152,1.295,0.366;2.862,14.134,0.845;10.493,17.914,0.477;7.774,1.257,1.092;8.946,18.095,0.274;10.062,2.791,0.894;1.971,1.916,0.362;10.455,17.447,0.344;9.369,0.856,1.147;2.958,13.186,1.030;19.818,12.930,0.308;12.908,12.776,0.327;18.592,10.754,1.941;4.754,7.889,1.345;17.114,7.792,0.232;0.709,11.033,0.273;9.745,14.545,0.772;11.540,4.958,0.755;18.709,6.076,0.622;16.585,12.549,1.952;7.208,19.519,0.729;6.400,12.432,2.054;1.793,8.240,0.304;13.636,13.159,0.420;7.836,10.266,0.337;11.349,3.073,2.030;1.145,15.350,0.610;2.033,8.342,0.498;0.483,1.325,0.752;19.578,19.654,0.252;4.025,19.341,0.284;12.623,13.810,1.344;0.146,16.354,0.208;17.972,13.719,0.458;0.944,13.242,1.142;1.861,13.332,1.123;11.815,5.361,0.777;10.874,8.096,0.370;4.730,3.406,1.052;10.781,15.942,1.128"
