Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
277,drone_2,18.2644,18.9557,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
278,drone_2,18.2937,19.0431,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
279,drone_2,18.3261,19.1288,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
280,drone_2,18.3678,19.2044,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
281,drone_2,18.4091,19.2591,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
282,drone_2,18.4532,19.2922,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
283,drone_2,18.5050,19.2924,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
284,drone_2,18.5646,19.2630,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
285,drone_2,18.6191,19.2238,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
286,drone_2,18.6561,19.1904,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
287,drone_2,18.6698,19.1643,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
288,drone_2,18.6588,19.1388,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
289,drone_2,18.6243,19.1068,17.0000,17.0000,"8.869,1.103,0.216;17.858,0.843,0.756;18.197,11.676,1.191;19.213,3.401,0.468;14.321,11.773,1.551;15.739,0.215,0.202;16.276,11.147,0.944;8.577,3.151,0.234;15.876,5.780,0.359;1.643,19.499,0.376;15.721,19.029,0.323;17.009,13.646,0.395;18.042,12.997,1.271;14.158,0.540,0.337;1.261,13.848,0.281;6.233,8.245,0.339;17.719,10.808,2.452;2.595,2.254,0.918;10.202,0.385,0.478;11.565,16.280,1.995;7.407,12.011,1.836;19.528,4.014,0.439;8.606,0.971,0.445;14.017,18.252,0.389;8.532,12.140,0.852;7.270,8.474,0.445;7.242,9.521,0.423;9.884,7.144,0.209;17.753,2.278,0.252;8.659,1.903,0.412;0.860,13.990,0.370;19.537,15.743,0.440;10.979,11.729,0.450;5.104,1.164,0.234;17.445,5.631,0.398;8.130,7.891,0.350;1.448,6.093,0.228;6.486,6.681,1.359;8.295,7.220,1.249;2.754,0.773,0.398;9.477,9.769,2.024;7.332,10.841,0.883;9.664,15.991,0.301;1.097,4.941,0.324;16.758,13.154,0.260;18.037,2.488,1.224;11.443,13.762,1.174;9.907,16.612,1.141;17.924,7.988,0.811;13.135,14.932,1.216;9.499,12.736,1.272;11.155,12.425,0.929;8.047,9.755,2.339;19.601,2.057,0.249;7.790,14.706,0.389;19.767,12.680,0.390;4.819,9.250,0.452;18.616,1.264,0.282;3.310,11.317,0.284;9.603,17.506,1.094;19.764,12.307,0.461;13.771,10.479,0.259;5.831,10.170,0.846;11.105,10.324,0.434;10.289,15.248,0.744;11.363,5.059,0.357;12.056,0.593,0.845;5.994,8.796,0.821;19.573,12.978,0.459;16.057,14.722,0.323;10.844,15.076,1.301;9.996,7.495,1.055;12.104,11.487,0.235;17.860,0.469,0.634;12.612,13.023,0.967;6.816,7.073,2.160;9.195,14.013,0.271;8.966,0.766,0.676;13.665,9.840,0.795;1.623,2.527,0.405;1.616,14.174,0.490;1.912,3.244,0.242;17.176,6.112,2.073"
